REACTION,STANDARD [kJ/mol],UNCERTAINTY [kJ/mol],TRANSFORMED [kJ/mol],MIN TRANSFORMED [kJ/mol],MAX TRANSFORMED [kJ/mol]
r1532,11.33,9.47,-71.8,-191.31,-5.73
r1533,11.33,9.47,-71.8,-191.31,-5.73
r1536,11.33,4.76,-29.62,-139.88,27.2
r1538,0.0,0.0,-3.15,-92.21,85.92
r1540,0.0,0.0,-0.09,-89.16,88.98
r1544,0.0,0.0,0.0,-59.37,59.38
r1546,0.0,0.0,0.01,-59.37,59.39
r1547,0.0,0.0,0.01,-59.37,59.38
r1548,0.0,0.0,0.01,-59.37,59.39
r1549,0.0,0.0,-0.0,-59.38,59.37
r1551,0.0,0.0,0.01,-59.37,59.39
r1552,0.0,0.0,0.02,-59.35,59.4
r1553,0.0,0.0,-0.12,-59.49,59.26
r1554,0.0,0.0,0.01,-59.36,59.39
r1556,0.0,0.0,-0.0,-59.38,59.37
r1557,0.0,0.0,0.01,-59.36,59.39
r1559,0.0,0.0,-0.03,-59.41,59.34
r1560,0.0,0.0,0.0,-59.38,59.38
r1561,0.0,0.0,-0.0,-59.38,59.37
r1562,0.0,0.0,-0.0,-59.38,59.38
r1563,0.0,0.0,-0.01,-59.39,59.36
r1564,0.0,0.0,-0.02,-59.4,59.35
r1565,0.0,0.0,0.0,-59.38,59.38
r1566,0.0,0.0,0.01,-59.36,59.39
r1567,0.0,0.0,-0.13,-59.5,59.25
r1568,0.0,0.0,0.0,-59.37,59.38
r1569,0.0,0.0,-0.03,-59.4,59.35
r1570,0.0,0.0,-0.01,-59.39,59.36
r1571,0.0,0.0,0.0,-59.37,59.38
r1573,0.0,0.0,0.01,-59.37,59.38
r1574,0.0,0.0,0.0,-59.37,59.38
r1575,0.0,0.0,0.01,-59.37,59.38
r1576,0.0,0.0,-0.01,-59.38,59.37
r1578,0.0,0.0,0.01,-59.37,59.39
r1579,0.0,0.0,0.02,-59.36,59.4
r1580,0.0,0.0,-0.12,-59.5,59.26
r1581,0.0,0.0,0.01,-59.37,59.39
r1583,0.0,0.0,-0.01,-59.39,59.37
r1584,0.0,0.0,0.01,-59.37,59.39
r1585,0.0,0.0,0.03,-59.34,59.41
r1586,0.0,0.0,0.03,-59.35,59.41
r1587,0.0,0.0,0.03,-59.34,59.41
r1588,0.0,0.0,0.02,-59.36,59.4
r1589,0.0,0.0,0.01,-59.37,59.39
r1590,0.0,0.0,0.04,-59.34,59.41
r1591,0.0,0.0,0.05,-59.33,59.43
r1592,0.0,0.0,-0.09,-59.47,59.29
r1593,0.0,0.0,0.04,-59.34,59.41
r1594,0.0,0.0,0.01,-59.37,59.38
r1595,0.0,0.0,0.02,-59.36,59.4
r1596,0.0,0.0,0.04,-59.34,59.41
r1597,0.0,0.0,-0.0,-59.38,59.37
r1598,0.0,0.0,-0.0,-59.38,59.38
r1599,0.0,0.0,-0.01,-59.39,59.36
r1600,0.0,0.0,-0.02,-59.4,59.35
r1602,0.0,0.0,0.01,-59.36,59.39
r1603,0.0,0.0,-0.13,-59.5,59.25
r1604,0.0,0.0,0.0,-59.37,59.38
r1605,0.0,0.0,-0.03,-59.41,59.35
r1606,0.0,0.0,-0.02,-59.39,59.36
r1607,0.0,0.0,0.0,-59.37,59.38
r1608,0.0,0.0,0.0,-59.38,59.38
r1609,0.0,0.0,-0.01,-59.39,59.37
r1610,0.0,0.0,-0.02,-59.4,59.36
r1611,0.0,0.0,0.0,-59.37,59.38
r1612,0.0,0.0,0.02,-59.36,59.39
r1613,0.0,0.0,-0.12,-59.5,59.26
r1614,0.0,0.0,0.01,-59.37,59.38
r1615,0.0,0.0,-0.02,-59.4,59.35
r1616,0.0,0.0,-0.01,-59.39,59.37
r1617,0.0,0.0,0.01,-59.37,59.38
r1618,0.0,0.0,-0.01,-59.39,59.36
r1619,0.0,0.0,-0.02,-59.4,59.36
r1620,0.0,0.0,0.0,-59.38,59.38
r1621,0.0,0.0,0.01,-59.36,59.39
r1622,0.0,0.0,-0.12,-59.5,59.25
r1623,0.0,0.0,0.0,-59.37,59.38
r1624,0.0,0.0,-0.03,-59.4,59.35
r1625,-0.0,0.0,-0.01,-59.39,59.36
r1626,0.0,0.0,0.0,-59.37,59.38
r1627,0.0,0.0,-0.01,-59.39,59.37
r1628,0.0,0.0,0.01,-59.36,59.39
r1629,0.0,0.0,0.03,-59.35,59.4
r1630,0.0,0.0,-0.11,-59.49,59.27
r1631,0.0,0.0,0.02,-59.36,59.39
r1632,0.0,0.0,-0.01,-59.39,59.36
r1633,0.0,0.0,-0.0,-59.38,59.38
r1634,0.0,0.0,0.02,-59.36,59.39
r1635,0.0,0.0,0.02,-59.35,59.4
r1636,0.0,0.0,0.04,-59.34,59.41
r1637,0.0,0.0,-0.1,-59.48,59.28
r1638,0.0,0.0,0.03,-59.35,59.4
r1639,0.0,0.0,-0.0,-59.38,59.37
r1640,0.0,0.0,0.01,-59.37,59.39
r1641,0.0,0.0,0.03,-59.35,59.4
r1642,0.0,0.0,0.01,-59.37,59.39
r1643,0.0,0.0,-0.13,-59.5,59.25
r1644,0.0,0.0,0.0,-59.38,59.38
r1645,0.0,0.0,-0.03,-59.41,59.35
r1646,0.0,0.0,-0.02,-59.39,59.36
r1647,0.0,0.0,0.0,-59.38,59.38
r1648,0.0,0.0,-0.14,-59.52,59.24
r1649,0.0,0.0,-0.01,-59.39,59.37
r1650,0.0,0.0,-0.04,-59.42,59.34
r1651,0.0,0.0,-0.03,-59.41,59.35
r1652,0.0,0.0,-0.01,-59.39,59.37
r1653,0.0,0.0,0.13,-59.25,59.51
r1654,0.0,0.0,0.1,-59.28,59.48
r1655,0.0,0.0,0.11,-59.27,59.49
r1656,0.0,0.0,0.13,-59.25,59.51
r1657,0.0,0.0,-0.03,-59.41,59.35
r1658,0.0,0.0,-0.02,-59.4,59.36
r1659,0.0,0.0,-0.0,-59.38,59.38
r1660,0.0,0.0,0.01,-59.37,59.39
r1661,0.0,0.0,0.03,-59.35,59.41
r1662,0.0,0.0,0.02,-59.36,59.4
r1664,0.0,0.0,-0.0,-59.38,59.38
r1665,0.0,0.0,-2.83,-62.21,56.55
r1666,0.0,0.0,-2.91,-62.29,56.47
r1668,0.0,0.0,-2.82,-62.2,56.55
r1669,0.0,0.0,-2.9,-62.28,56.48
r1670,0.0,0.0,-2.83,-62.21,56.55
r1671,0.0,0.0,-0.08,-59.46,59.3
r1672,0.0,0.0,-2.99,-92.06,86.07
r1673,0.0,0.0,-3.0,-92.07,86.07
r1674,0.0,0.0,-3.03,-92.09,86.04
r1675,0.0,0.0,-2.99,-92.06,86.07
r1676,0.0,0.0,-3.0,-92.06,86.07
r1677,0.0,0.0,-2.99,-92.06,86.07
r1678,0.0,0.0,-3.01,-92.07,86.06
r1679,0.0,0.0,-3.02,-92.08,86.05
r1680,0.0,0.0,-2.99,-92.06,86.07
r1681,0.0,0.0,-2.98,-92.05,86.09
r1682,0.0,0.0,-3.12,-92.19,85.95
r1683,0.0,0.0,-2.99,-92.06,86.08
r1684,0.0,0.0,-3.02,-92.09,86.05
r1685,0.0,0.0,-3.01,-92.07,86.06
r1686,0.0,0.0,-2.99,-92.06,86.08
r1687,0.0,0.0,-3.01,-92.08,86.05
r1690,0.0,0.0,-3.0,-92.07,86.06
r1691,0.0,0.0,-3.01,-92.07,86.06
r1692,0.0,0.0,-3.0,-92.07,86.06
r1693,0.0,0.0,-3.02,-92.08,86.05
r1695,0.0,0.0,-3.0,-92.07,86.06
r1696,0.0,0.0,-2.99,-92.06,86.08
r1698,0.0,0.0,-3.0,-92.07,86.07
r1700,0.0,0.0,-3.02,-92.08,86.05
r1701,0.0,0.0,-3.0,-92.07,86.07
r1702,0.0,0.0,-3.01,-92.07,86.06
r1705,0.0,0.0,-3.0,-92.06,86.07
r1706,0.0,0.0,-3.0,-92.07,86.07
r1707,0.0,0.0,-3.0,-92.06,86.07
r1708,0.0,0.0,-3.01,-92.08,86.06
r1710,0.0,0.0,-3.0,-92.06,86.07
r1711,0.0,0.0,-2.98,-92.05,86.08
r1713,0.0,0.0,-2.99,-92.06,86.07
r1715,0.0,0.0,-3.01,-92.08,86.05
r1716,0.0,0.0,-2.99,-92.06,86.07
r1717,0.0,0.0,-2.98,-92.05,86.09
r1720,0.0,0.0,-2.97,-92.04,86.1
r1721,0.0,0.0,-2.97,-92.04,86.09
r1722,0.0,0.0,-2.97,-92.04,86.1
r1723,0.0,0.0,-2.98,-92.05,86.08
r1725,0.0,0.0,-2.97,-92.03,86.1
r1726,0.0,0.0,-2.96,-92.02,86.11
r1728,0.0,0.0,-2.97,-92.03,86.1
r1730,0.0,0.0,-2.98,-92.05,86.08
r1731,0.0,0.0,-2.97,-92.03,86.1
r1732,0.0,0.0,-3.01,-92.08,86.05
r1733,0.0,0.0,-3.0,-92.07,86.06
r1734,0.0,0.0,-3.01,-92.08,86.06
r1735,0.0,0.0,-3.04,-92.1,86.03
r1736,0.0,0.0,-3.01,-92.07,86.06
r1737,0.0,0.0,-3.01,-92.07,86.06
r1738,0.0,0.0,-3.02,-92.08,86.05
r1739,0.0,0.0,-3.03,-92.09,86.04
r1740,0.0,0.0,-3.0,-92.07,86.06
r1741,0.0,0.0,-2.99,-92.06,86.08
r1742,0.0,0.0,-3.13,-92.2,85.94
r1743,0.0,0.0,-3.0,-92.07,86.06
r1744,0.0,0.0,-3.03,-92.1,86.03
r1745,0.0,0.0,-3.02,-92.09,86.05
r1746,0.0,0.0,-3.0,-92.07,86.06
r1747,0.0,0.0,-3.01,-92.08,86.05
r1748,0.0,0.0,-3.0,-92.07,86.07
r1749,0.0,0.0,-3.01,-92.07,86.06
r1750,0.0,0.0,-3.04,-92.1,86.03
r1751,0.0,0.0,-3.0,-92.07,86.07
r1752,0.0,0.0,-3.0,-92.07,86.06
r1753,0.0,0.0,-3.01,-92.08,86.05
r1754,0.0,0.0,-3.02,-92.09,86.04
r1755,0.0,0.0,-3.0,-92.07,86.07
r1756,0.0,0.0,-2.99,-92.05,86.08
r1757,0.0,0.0,-3.13,-92.19,85.94
r1758,0.0,0.0,-3.0,-92.06,86.07
r1759,0.0,0.0,-3.03,-92.09,86.04
r1760,0.0,0.0,-3.02,-92.08,86.05
r1761,0.0,0.0,-3.0,-92.06,86.07
r1762,0.0,0.0,-3.01,-92.08,86.05
r1763,0.0,0.0,-3.0,-92.07,86.06
r1764,0.0,0.0,-3.01,-92.08,86.06
r1765,0.0,0.0,-3.04,-92.1,86.03
r1766,0.0,0.0,-3.0,-92.07,86.06
r1767,0.0,0.0,-3.01,-92.07,86.06
r1768,0.0,0.0,-3.02,-92.08,86.05
r1769,0.0,0.0,-3.03,-92.09,86.04
r1770,0.0,0.0,-3.0,-92.07,86.06
r1771,0.0,0.0,-2.99,-92.06,86.08
r1772,0.0,0.0,-3.13,-92.19,85.94
r1773,0.0,0.0,-3.0,-92.07,86.07
r1774,0.0,0.0,-3.03,-92.1,86.04
r1775,-0.0,0.0,-3.02,-92.08,86.05
r1776,0.0,0.0,-3.0,-92.07,86.07
r1777,0.0,0.0,-3.0,-92.07,86.07
r1778,0.0,0.0,-2.99,-92.06,86.08
r1779,0.0,0.0,-3.0,-92.06,86.07
r1780,0.0,0.0,-3.02,-92.09,86.04
r1781,0.0,0.0,-2.99,-92.06,86.08
r1782,-0.0,0.0,-2.99,-92.06,86.07
r1783,0.0,0.0,-2.99,-92.06,86.07
r1784,0.0,0.0,-3.01,-92.08,86.05
r1785,0.0,0.0,-2.99,-92.06,86.08
r1786,0.0,0.0,-2.98,-92.04,86.09
r1787,0.0,0.0,-3.12,-92.18,85.95
r1788,0.0,0.0,-2.99,-92.05,86.08
r1789,0.0,0.0,-3.02,-92.08,86.05
r1790,0.0,0.0,-3.01,-92.07,86.06
r1791,0.0,0.0,-2.99,-92.05,86.08
r1792,0.0,0.0,-2.99,-92.06,86.08
r1796,0.0,0.0,-2.98,-92.05,86.09
r1797,0.0,0.0,-2.98,-92.05,86.08
r1798,0.0,0.0,-2.98,-92.05,86.08
r1799,0.0,0.0,-2.99,-92.06,86.07
r1800,0.0,0.0,-2.98,-92.05,86.09
r1801,0.0,0.0,-2.97,-92.03,86.1
r1803,0.0,0.0,-2.98,-92.04,86.09
r1805,0.0,0.0,-3.0,-92.06,86.07
r1806,0.0,0.0,-2.98,-92.04,86.09
r1807,0.0,0.0,-3.02,-92.08,86.05
r1808,0.0,0.0,-3.01,-92.07,86.06
r1809,0.0,0.0,-3.01,-92.08,86.05
r1810,0.0,0.0,-3.04,-92.11,86.03
r1811,0.0,0.0,-3.0,-92.07,86.06
r1812,-0.0,0.0,-3.01,-92.07,86.06
r1813,0.0,0.0,-3.01,-92.07,86.06
r1814,0.0,0.0,-3.02,-92.08,86.05
r1815,0.0,0.0,-3.03,-92.09,86.04
r1816,0.0,0.0,-2.99,-92.06,86.07
r1817,0.0,0.0,-3.13,-92.2,85.94
r1818,0.0,0.0,-3.0,-92.07,86.06
r1819,0.0,0.0,-3.03,-92.1,86.03
r1820,0.0,0.0,-3.02,-92.09,86.05
r1821,0.0,0.0,-3.0,-92.07,86.06
r1822,0.0,0.0,-3.03,-92.09,86.04
r1823,0.0,0.0,-3.02,-92.08,86.05
r1824,0.0,0.0,-3.02,-92.09,86.04
r1825,0.0,0.0,-3.05,-92.12,86.01
r1826,0.0,0.0,-3.02,-92.08,86.05
r1827,0.0,0.0,-3.02,-92.09,86.05
r1828,0.0,0.0,-3.02,-92.08,86.05
r1829,0.0,0.0,-3.03,-92.1,86.04
r1830,0.0,0.0,-3.04,-92.11,86.03
r1831,0.0,0.0,-3.02,-92.08,86.05
r1832,0.0,0.0,-3.14,-92.21,85.92
r1833,0.0,0.0,-3.01,-92.08,86.05
r1834,0.0,0.0,-3.04,-92.11,86.02
r1835,0.0,0.0,-3.03,-92.1,86.03
r1836,0.0,0.0,-3.01,-92.08,86.05
r1837,0.0,0.0,-2.89,-91.96,86.18
r1841,0.0,0.0,-2.88,-91.94,86.19
r1842,0.0,0.0,-2.88,-91.95,86.18
r1843,0.0,0.0,-2.88,-91.95,86.19
r1844,0.0,0.0,-2.89,-91.96,86.17
r1846,0.0,0.0,-2.88,-91.94,86.19
r1847,0.0,0.0,-2.87,-91.93,86.2
r1848,0.0,0.0,-2.88,-91.94,86.19
r1850,0.0,0.0,-2.89,-91.96,86.17
r1851,0.0,0.0,-2.88,-91.94,86.19
r1852,0.0,0.0,-3.02,-92.08,86.05
r1853,0.0,0.0,-3.01,-92.07,86.06
r1854,0.0,0.0,-3.01,-92.08,86.05
r1855,0.0,0.0,-3.04,-92.11,86.02
r1856,0.0,0.0,-3.01,-92.07,86.06
r1857,0.0,0.0,-3.01,-92.08,86.06
r1858,0.0,0.0,-3.01,-92.07,86.06
r1859,0.0,0.0,-3.02,-92.09,86.05
r1860,0.0,0.0,-3.03,-92.1,86.04
r1861,0.0,0.0,-3.01,-92.07,86.06
r1862,0.0,0.0,-2.99,-92.06,86.07
r1863,0.0,0.0,-3.13,-92.2,85.93
r1864,0.0,0.0,-3.03,-92.1,86.03
r1865,0.0,0.0,-3.02,-92.09,86.04
r1866,0.0,0.0,-3.0,-92.07,86.06
r1867,0.0,0.0,-2.99,-92.05,86.08
r1871,0.0,0.0,-2.98,-92.04,86.09
r1872,0.0,0.0,-2.98,-92.05,86.09
r1873,0.0,0.0,-2.98,-92.04,86.09
r1874,0.0,0.0,-2.99,-92.06,86.08
r1876,0.0,0.0,-2.98,-92.04,86.09
r1877,0.0,0.0,-2.96,-92.03,86.1
r1879,0.0,0.0,-2.97,-92.04,86.09
r1880,0.0,0.0,-2.99,-92.06,86.07
r1881,0.0,0.0,-2.97,-92.04,86.09
r1882,0.0,0.0,-3.0,-92.07,86.07
r1883,0.0,0.0,-2.99,-92.06,86.08
r1884,0.0,0.0,-3.0,-92.06,86.07
r1885,0.0,0.0,-3.02,-92.09,86.04
r1886,0.0,0.0,-2.99,-92.05,86.08
r1887,-0.0,0.0,-2.99,-92.06,86.07
r1888,0.0,0.0,-2.99,-92.06,86.08
r1889,0.0,0.0,-3.0,-92.07,86.06
r1890,0.0,0.0,-3.01,-92.08,86.05
r1891,0.0,0.0,-2.99,-92.05,86.08
r1892,0.0,0.0,-2.98,-92.04,86.09
r1893,0.0,0.0,-3.11,-92.18,85.95
r1894,0.0,0.0,-2.99,-92.05,86.08
r1895,0.0,0.0,-3.02,-92.08,86.05
r1896,0.0,0.0,-2.99,-92.05,86.08
r1897,0.0,0.0,-3.02,-92.08,86.05
r1898,0.0,0.0,-3.01,-92.07,86.06
r1899,0.0,0.0,-3.01,-92.08,86.05
r1900,0.0,0.0,-3.04,-92.11,86.03
r1901,-0.0,0.0,-3.01,-92.07,86.06
r1902,-0.0,0.0,-3.01,-92.08,86.06
r1903,0.0,0.0,-3.01,-92.07,86.06
r1904,0.0,0.0,-3.02,-92.09,86.05
r1905,0.0,0.0,-3.03,-92.1,86.04
r1906,0.0,0.0,-3.01,-92.07,86.06
r1907,0.0,0.0,-2.99,-92.06,86.07
r1908,0.0,0.0,-3.13,-92.2,85.93
r1909,0.0,0.0,-3.0,-92.07,86.06
r1910,0.0,0.0,-3.03,-92.1,86.03
r1911,0.0,0.0,-3.02,-92.09,86.04
r1912,0.0,0.0,-0.09,-89.16,88.97
r1913,0.0,0.0,-0.1,-89.17,88.96
r1914,0.0,0.0,-0.09,-89.16,88.97
r1915,0.0,0.0,-2.93,-91.99,86.14
r1916,0.0,0.0,-3.0,-92.07,86.06
r1917,0.0,0.0,-0.1,-89.17,88.96
r1918,0.0,0.0,-0.11,-89.18,88.95
r1919,0.0,0.0,-0.1,-89.17,88.96
r1920,0.0,0.0,-2.94,-92.0,86.13
r1921,0.0,0.0,-3.01,-92.08,86.05
r1922,0.0,0.0,-0.1,-89.16,88.97
r1923,0.0,0.0,-0.11,-89.17,88.96
r1924,0.0,0.0,-0.1,-89.16,88.97
r1925,0.0,0.0,-2.93,-92.0,86.14
r1926,0.0,0.0,-3.01,-92.07,86.06
r1928,0.0,0.0,-0.08,-89.15,88.99
r1929,0.0,0.0,-0.07,-89.14,89.0
r1930,0.0,0.0,-2.9,-91.97,86.16
r1931,0.0,0.0,-2.98,-92.05,86.09
r1932,0.0,0.0,-0.1,-89.17,88.96
r1933,0.0,0.0,-0.11,-89.18,88.95
r1934,0.0,0.0,-0.1,-89.17,88.96
r1935,-0.0,0.0,-2.94,-92.0,86.13
r1936,0.0,0.0,-3.02,-92.08,86.05
r1937,0.0,0.0,-0.1,-89.17,88.96
r1938,0.0,0.0,-0.11,-89.18,88.96
r1939,0.0,0.0,-0.1,-89.17,88.96
r1940,0.0,0.0,-2.93,-92.0,86.13
r1941,-0.0,0.0,-3.01,-92.08,86.05
r1942,0.0,0.0,-0.1,-89.17,88.96
r1943,0.0,0.0,-0.11,-89.18,88.95
r1944,0.0,0.0,-0.1,-89.17,88.96
r1945,0.0,0.0,-2.94,-92.0,86.13
r1946,0.0,0.0,-3.01,-92.08,86.05
r1947,0.0,0.0,-0.09,-89.16,88.98
r1948,0.0,0.0,-0.1,-89.17,88.97
r1949,0.0,0.0,-0.09,-89.16,88.98
r1950,0.0,0.0,-2.92,-91.99,86.14
r1951,-0.0,0.0,-3.0,-92.07,86.07
r1952,0.0,0.0,-0.08,-89.15,88.99
r1953,0.0,0.0,-0.09,-89.16,88.98
r1954,0.0,0.0,-0.08,-89.15,88.99
r1955,0.0,0.0,-2.91,-91.98,86.15
r1956,0.0,0.0,-2.99,-92.06,86.07
r1957,0.0,0.0,-0.11,-89.17,88.96
r1958,0.0,0.0,-0.11,-89.18,88.95
r1959,0.0,0.0,-0.11,-89.17,88.96
r1960,0.0,0.0,-2.94,-92.0,86.13
r1961,0.0,0.0,-3.02,-92.08,86.05
r1962,0.0,0.0,-0.12,-89.18,88.95
r1963,0.0,0.0,-0.13,-89.19,88.94
r1964,0.0,0.0,-0.12,-89.18,88.95
r1965,0.0,0.0,-2.95,-92.02,86.12
r1966,0.0,0.0,-3.03,-92.09,86.04
r1967,0.0,0.0,0.02,-89.05,89.09
r1968,0.0,0.0,0.01,-89.05,89.08
r1969,0.0,0.0,0.02,-89.05,89.09
r1970,0.0,0.0,-2.81,-91.88,86.26
r1971,0.0,0.0,-2.89,-91.96,86.18
r1972,0.0,0.0,-0.11,-89.17,88.96
r1973,0.0,0.0,-0.12,-89.18,88.95
r1974,0.0,0.0,-0.11,-89.17,88.96
r1975,0.0,0.0,-2.94,-92.01,86.13
r1976,0.0,0.0,-3.02,-92.08,86.05
r1977,0.0,0.0,-0.08,-89.14,88.99
r1978,0.0,0.0,-0.09,-89.15,88.98
r1979,0.0,0.0,-0.08,-89.14,88.99
r1980,0.0,0.0,-2.91,-91.98,86.16
r1981,0.0,0.0,-2.99,-92.05,86.08
r1982,0.0,0.0,-0.09,-89.16,88.98
r1983,0.0,0.0,-0.1,-89.16,88.97
r1984,0.0,0.0,-0.09,-89.16,88.98
r1985,0.0,0.0,-2.92,-91.99,86.14
r1986,0.0,0.0,-3.0,-92.07,86.07
r1987,0.0,0.0,-0.11,-89.17,88.96
r1988,0.0,0.0,-0.12,-89.18,88.95
r1989,0.0,0.0,-0.11,-89.17,88.96
r1990,0.0,0.0,-2.94,-92.01,86.13
r1991,0.0,0.0,-3.02,-92.08,86.05
r1992,0.0,0.0,-2.91,-62.29,56.47
r1993,0.0,0.0,-2.9,-62.28,56.48
r1994,0.0,0.0,-2.91,-62.28,56.47
r1995,0.0,0.0,-2.93,-62.31,56.44
r1996,0.0,0.0,-2.9,-62.28,56.48
r1997,0.0,0.0,-2.9,-62.28,56.47
r1998,0.0,0.0,-2.9,-62.28,56.48
r1999,0.0,0.0,-2.91,-62.29,56.46
r2000,0.0,0.0,-2.92,-62.3,56.45
r2001,0.0,0.0,-2.9,-62.28,56.48
r2002,0.0,0.0,-2.89,-62.26,56.49
r2003,0.0,0.0,-3.02,-62.4,56.35
r2004,0.0,0.0,-2.9,-62.27,56.48
r2005,0.0,0.0,-2.93,-62.3,56.45
r2006,0.0,0.0,-2.91,-62.29,56.46
r2007,0.0,0.0,-2.9,-62.27,56.48
r2008,0.0,0.0,-2.9,-62.28,56.48
r2009,0.0,0.0,-2.89,-62.27,56.49
r2010,0.0,0.0,-2.9,-62.27,56.48
r2011,0.0,0.0,-2.92,-62.3,56.45
r2012,0.0,0.0,-2.89,-62.27,56.49
r2013,0.0,0.0,-2.89,-62.27,56.48
r2014,0.0,0.0,-2.89,-62.27,56.49
r2015,0.0,0.0,-2.9,-62.28,56.47
r2016,0.0,0.0,-2.91,-62.29,56.46
r2017,0.0,0.0,-2.89,-62.27,56.49
r2018,0.0,0.0,-2.88,-62.25,56.5
r2019,0.0,0.0,-3.02,-62.39,56.36
r2020,0.0,0.0,-2.89,-62.26,56.49
r2021,0.0,0.0,-2.92,-62.3,56.46
r2022,0.0,0.0,-2.91,-62.28,56.47
r2023,0.0,0.0,-2.89,-62.26,56.49
r2024,0.0,0.0,-2.91,-62.29,56.47
r2026,0.0,0.0,-2.91,-62.28,56.47
r2027,0.0,0.0,-2.93,-62.31,56.44
r2028,0.0,0.0,-2.9,-62.28,56.48
r2029,0.0,0.0,-2.9,-62.28,56.47
r2030,0.0,0.0,-2.9,-62.28,56.48
r2031,0.0,0.0,-2.91,-62.29,56.46
r2032,0.0,0.0,-2.92,-62.3,56.45
r2034,0.0,0.0,-2.89,-62.26,56.49
r2035,0.0,0.0,-3.02,-62.4,56.35
r2036,0.0,0.0,-2.9,-62.27,56.48
r2037,0.0,0.0,-2.93,-62.3,56.45
r2038,-0.0,0.0,-2.91,-62.29,56.46
r2039,0.0,0.0,-2.9,-62.27,56.48
r2040,0.0,0.0,-0.08,-59.46,59.3
r2041,0.0,0.0,-0.07,-59.45,59.31
r2042,0.0,0.0,-0.07,-59.45,59.3
r2043,0.0,0.0,-0.1,-59.48,59.28
r2044,0.0,0.0,-0.07,-59.44,59.31
r2045,0.0,0.0,-0.07,-59.45,59.31
r2046,0.0,0.0,-0.07,-59.45,59.31
r2047,0.0,0.0,-0.08,-59.46,59.3
r2048,0.0,0.0,-0.09,-59.47,59.29
r2049,0.0,0.0,-0.07,-59.44,59.31
r2050,0.0,0.0,-0.05,-59.43,59.32
r2051,0.0,0.0,-0.19,-59.57,59.18
r2052,0.0,0.0,-0.06,-59.44,59.31
r2053,0.0,0.0,-0.1,-59.47,59.28
r2054,0.0,0.0,-0.08,-59.46,59.29
r2055,0.0,0.0,-0.06,-59.44,59.31
r2056,0.0,0.0,0.0,-59.38,59.38
r2057,0.0,0.0,0.01,-59.37,59.39
r2058,0.0,0.0,0.0,-59.37,59.38
r2059,0.0,0.0,-0.02,-59.4,59.35
r2060,0.0,0.0,0.01,-59.37,59.39
r2061,0.0,0.0,0.01,-59.37,59.39
r2062,-0.0,0.0,0.01,-59.37,59.39
r2063,0.0,0.0,-0.0,-59.38,59.37
r2064,0.0,0.0,-0.01,-59.39,59.36
r2065,-0.0,0.0,0.01,-59.37,59.39
r2066,-0.0,0.0,0.02,-59.35,59.4
r2067,0.0,0.0,-0.11,-59.49,59.26
r2068,-0.0,0.0,0.01,-59.36,59.39
r2069,0.0,0.0,-0.02,-59.39,59.36
r2070,-0.0,0.0,-0.0,-59.38,59.37
r2071,0.0,0.0,0.01,-59.36,59.39
r2073,0.0,0.0,-7.68,-37.37,22.01
r2079,0.0,0.0,0.0,-59.38,59.38
r2080,0.0,0.0,-0.0,-59.38,59.38
r2081,0.0,0.0,-0.0,-59.38,59.38
r2082,0.0,0.0,-0.0,-59.38,59.38
r2083,0.0,0.0,0.0,-59.38,59.38
r2084,0.0,0.0,-0.0,-59.38,59.37
r2085,0.0,0.0,0.0,-59.38,59.38
r2086,0.0,0.0,0.0,-59.38,59.38
r2087,0.0,0.0,-0.0,-59.38,59.38
r2088,0.0,0.0,-0.0,-59.38,59.38
r2089,0.0,0.0,-0.0,-59.38,59.38
r2090,0.0,0.0,0.0,-59.38,59.38
r2091,0.0,0.0,-0.0,-59.38,59.38
r2092,0.0,0.0,-0.0,-59.38,59.37
r2093,0.0,0.0,-2.89,-62.27,56.48
r2094,0.0,0.0,0.0,-59.38,59.38
r2095,0.0,0.0,0.0,-59.38,59.38
r2096,0.0,0.0,0.0,-59.38,59.38
r2097,0.0,0.0,0.0,-59.38,59.38
r2098,0.0,0.0,0.0,-59.37,59.38
r2099,0.0,0.0,0.0,-59.37,59.38
r2100,0.0,0.0,0.0,-59.38,59.38
r2101,0.0,0.0,2.9,-56.48,62.27
r2102,0.0,0.0,2.9,-56.48,62.27
r2103,0.0,0.0,2.9,-56.48,62.27
r2104,0.0,0.0,2.89,-56.48,62.27
r2105,0.0,0.0,2.89,-56.48,62.27
r2106,0.0,0.0,2.9,-56.48,62.27
r2107,0.0,0.0,2.9,-56.48,62.28
r2108,0.0,0.0,2.9,-56.48,62.27
r2109,0.0,0.0,2.89,-56.48,62.27
r2110,0.0,0.0,-0.0,-59.38,59.38
r2111,0.0,0.0,0.0,-59.38,59.38
r2112,0.0,0.0,-0.0,-59.38,59.38
r2113,0.0,0.0,0.0,-59.38,59.38
r2114,0.0,0.0,0.0,-59.38,59.38
r2115,0.0,0.0,-0.0,-59.38,59.38
r2116,0.0,0.0,0.0,-59.38,59.38
r2117,0.0,0.0,-0.0,-59.38,59.38
r2118,0.0,0.0,0.0,-59.38,59.38
r2119,0.0,0.0,0.0,-59.37,59.38
r2120,0.0,0.0,0.0,-59.38,59.38
r2121,0.0,0.0,-0.0,-59.38,59.38
r2122,0.0,0.0,0.0,-59.38,59.38
r2123,0.0,0.0,0.0,-59.38,59.38
r2124,0.0,0.0,-0.0,-59.38,59.38
r2125,0.0,0.0,0.0,-59.38,59.38
