RXNID	NAME	FORMULA	SUBSYSTEM	GR RULE	EC NUMBER	KEGG	NOTES	REFERENCES
HMCRNc	Formation of Homocitrulline	1 lys_L[c] + 1 cbp[c] <=> 1 h[c] + 1 pi[c] + 1 hmcr[c]	Lysine metabolism		2.1.3.8		smiley solution for gap filling. One proton added to product side for mass and charge balancing.	PMID: 21962087
PHACGLYc	Glycine N-Acyltransferase, Phenylacetate	1 gly[c] + 1 phaccoa[c] --> 1 h[c] + 1 coa[c] + 1 phacgly[c]	Valine, leucine, and isoleucine metabolism		2.3.1.13		Acyl glycines are produced through the action of glycine N-acyltransferase (EC 2.3.1.13) which is an enzyme that catalyzes the chemical reaction:. acyl-CoA + glycine < -- > CoA + N-acylglycine. Phenylacetylglycine or PAG is a glycine conjugate of phenylacetic acid. Phenylacetic acid may arise from exposure to styrene (plastic) or through the consumption of fruits and vegetables. Phenylacetic acid is used in some perfumes, possessing a honey-like odour in low concentrations, and is also used in penicillin G production. PAG is a putative biomarker of phospholipidosis. Urinary PAG is elevated in animals exhibiting abnormal phospholipid accumulation in many tissues and may thus be useful as a surrogate biomarker for phospholipidosis. (PMID: 15764292 ) The presence of phenylacetylglycine in urine has been confirmed for dogs, rats and mice. However, the presence of this compound in human urine is controversial. GC-MS studies have not found this compound (PMID: 7492634 ) while NMR studies claimed to have identified it (PMID: 21167146 ). It appears that phenylacetylglycine may sometimes be mistaken for phenylacetylglutamine via NMR. (HMDB00821). One proton added to product side for element and charge balance.	
LCAT10e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Myristoylglycerophosphocholine	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholmyr_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT11e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Oleoylglycerophosphocholine (Delta 9)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholole_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT12e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Oleoylglycerophosphoethanolamine (Delta 9)	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 peole_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT13e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Palmitoleoylglycerophosphocholine (Delta 9)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholpalme_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT14e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Palmitoylglycerophosphocholine	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholpalm_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT54e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Palmitoylglycerophosphoethanolamine	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 pepalm_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT55e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Palmitoylglycerophosphoinositol	1 chsterol[e] + 1 pail_hs[e] --> 1 xolest2_hs[e] + 1 pailpalm_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT15e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Stearoylglycerophosphocholine	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholste_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT16e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Stearoylglycerophosphoethanolamine	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 peste_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT17e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Stearoylglycerophosphoinositol	1 chsterol[e] + 1 pail_hs[e] --> 1 xolest2_hs[e] + 1 pailste_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT18e	Lecithin-Cholesterol Acyltransferase, Formation of 2-Linoleoylglycerophosphocholine	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pchol2linl_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT19e	Lecithin-Cholesterol Acyltransferase, Formation of 2-Linoleoylglycerophosphoethanolamine	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 pe2linl_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT20e	Lecithin-Cholesterol Acyltransferase, Formation of 2-Oleoylglycerophosphocholine	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pchol2ole_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT21e	Lecithin-Cholesterol Acyltransferase, Formation of 2-Palmitoylglycerophosphocholine	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pchol2palm_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT22e	Lecithin-Cholesterol Acyltransferase, Formation of 2-Stearoylglycerophosphocholine	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pchol2ste_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT23e	Lecithin-Cholesterol Acyltransferase, Formation of Cholesterol-Ester (18:3)	1 chsterol[e] + 1 pchol_hs[e] --> 1 lpchol_hs[e] + 1 xolest183_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT25e	Lecithin-Cholesterol Acyltransferase, Formation of Cholesterol-Ester (18:1)	1 chsterol[e] + 1 pchol_hs[e] --> 1 lpchol_hs[e] + 1 xolest181_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT26e	Lecithin-Cholesterol Acyltransferase, Formation of Cholesterol-Ester (20:5)	1 chsterol[e] + 1 pchol_hs[e] --> 1 lpchol_hs[e] + 1 xolest205_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT27e	Lecithin-Cholesterol Acyltransferase, Formation of Cholesterol-Ester (20:4)	1 chsterol[e] + 1 pchol_hs[e] --> 1 lpchol_hs[e] + 1 xolest204_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT28e	Lecithin-Cholesterol Acyltransferase, Formation of Cholesterol-Ester (22:6)	1 chsterol[e] + 1 pchol_hs[e] X--X 1 lpchol_hs[e] + 1 xolest226_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT29e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Pentadecanoylglycerophosphocholine	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn15_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT2e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Arachidonoylglycerophosphocholine	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholar_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT30e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Octadeca-Trienoylglycerophosphocholine	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn183_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT31e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Octadeca-Trienoylglycerophosphocholine (Delta 6, 9, 12)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn1836_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT32e	Lecithin-Cholesterol Acyltransferase, Formation of 1-NoNADecanoylglycerophosphocholine	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn19_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT33e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosenoylglycerophosphocholine (Delta 11)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn201_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT34e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosatetraenoylglycerophosphocholine (Delta 8, 11, 14, 17)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn204_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT35e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosapentenoylglycerophosphocholine (Delta 5, 8, 11, 14, 17)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn205_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT36e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosatetraenoylglycerophosphocholine (Delta 7, 10, 13, 16)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn224_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT37e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosapentenoylglycerophosphocholine (Delta 7, 10, 13, 16, 19)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn225_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT38e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosapentenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn2254_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT39e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosahexenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16, 19)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn226_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT3e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Arachidonoylglycerophosphoethanolamine	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 pear_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT40e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosatrienoylglycerophosphoethanolamine (Delta 11, 14, 17)	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 pe203_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT41e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosahexenoylglyceroethanolamine (Delta 4, 7, 10, 13, 16, 19)	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 pe226_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT42e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosatetraenoyglycerophosphoethanolamine (22:4, Delta 7, 10, 13, 16)	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 pe224_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT43e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Dihomo-Linolenoylglycerophosphoethanolamine (20:3, Delta 8, 11, 14)	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 pedh203_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT44e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Didecanoylglycerophosphoethanolamine (C12:0 Pe)	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 pe12_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT45e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Myristoylglycerophosphoethanolamine (C14:0 Pe)	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 pe14_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT56e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Hexadecenoylglycerophosphoethanolamine (C16:1 Pe, Delta 9)	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 pe161_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT46e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Tridecanoylglycerophosphoethanolamine (C13:0 Pe)	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 pe13_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT47e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Pentadecanoylglycerophosphoethanolamine (C15:0 Pe)	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 pe15_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT48e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe)	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 pe17_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT49e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Dihomo-Linolenoylglycerophosphocholine (20:3, Delta 8, 11, 14)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn203_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT4e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Arachidonoylglycerophosphoinositol	1 chsterol[e] + 1 pail_hs[e] --> 1 xolest2_hs[e] + 1 pailar_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT50e	Lecithin-Cholesterol Acyltransferase, Formation of 1-1-Lignocericylglycerophosphocholine (24:0)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn24_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT51e	Lecithin-Cholesterol Acyltransferase, Formation of Lysopc A C26:1 (Delta 5)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn261_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT52e	Lecithin-Cholesterol Acyltransferase, Formation of Lysopc A C28:1 (Delta 5)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn281_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT53e	Lecithin-Cholesterol Acyltransferase, Formation of Lysopc A C28:0	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholn28_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT57e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosahexaenoylglycerophosphocholine	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholdoc_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT5e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosadienoylglycerophosphocholine (Delta 11, 14)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholeic_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT6e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosatrienoylglycerophosphocholine (Delta 11, 14, 17)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholet_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT7e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Heptadecanoylglycerophosphocholine	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pcholhep_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT8e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Linoleoylglycerophosphocholine (Delta 9, 12)	1 chsterol[e] + 1 pchol_hs[e] --> 1 xolest2_hs[e] + 1 pchollinl_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
LCAT9e	Lecithin-Cholesterol Acyltransferase, Formation of 1-Linoleoylglycerophosphoethanolamine (Delta 9, 12)	1 chsterol[e] + 1 pe_hs[e] --> 1 xolest2_hs[e] + 1 pelinl_hs[e]	Cholesterol metabolism	(3931)	2.3.1.43			PMID: 22566575
SMS1	Sphingomyelin Synthase, Formation of Sm (D18:1/14:0)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln18114_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
SMS10	Sphingomyelin Synthase, Formation of Sm (D18:1/21:0)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln18121_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
SMS11	Sphingomyelin Synthase, Formation of Sm (D18:1/22:1)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln181221_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
SMS12	Sphingomyelin Synthase, Formation of Sm (D18:1/22:0)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln18122_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
SMS16	Sphingomyelin Synthase, Formation of Sm (D18:1/23:0)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln18123_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
SMS13	Sphingomyelin Synthase, Formation of Sm (D18:0/24:1)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln180241_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
SMS14	Sphingomyelin Synthase, Formation of Sm (D18:0/24:0)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln1824_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
SMS15	Sphingomyelin Synthase, Formation of Sm (D18:0/24:0)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln1825_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
SMS2	Sphingomyelin Synthase, Formation of Sm (D18:1/15:0)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln18115_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
SMS3	Sphingomyelin Synthase, Formation of Sm (D18:1/16:1)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln181161_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
SMS4	Sphingomyelin Synthase, Formation of Sm (D18:1/16:0)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln18116_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
SMS5	Sphingomyelin Synthase, Formation of Sm (D18:1/17:0)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln18117_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
SMS6	Sphingomyelin Synthase, Formation of Sm (D18:1/18:0)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln18118_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
SMS7	Sphingomyelin Synthase, Formation of Sm (D18:1/18:1)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln181181_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
SMS8	Sphingomyelin Synthase, Formation of Sm (D18:1/20:1)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln181201_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
SMS9	Sphingomyelin Synthase, Formation of Sm (D18:1/20:0)	1 pchol_hs[c] + 1 crm_hs[c] --> 1 dag_hs[c] + 1 sphmyln18120_hs[c]	Glycerophospholipid metabolism	(166929) or (259230)	2.7.8.27		Sphingomyelins are synthesized by the transfer of phosphorylcholine from phosphatidylcholine to a ceramide in a reaction catalyzed by sphingomyelin synthase.	HMDB01348
XOLEST183CEH	Hydrolysis of 1-Gamma-Linolenoyl-Cholesterol, Cholesterol-Ester (18:3, Delta 6, 9, 12)	1 h2o[l] + 1 xolest183_hs[l] --> 1 h[l] + 1 chsterol[l] + 1 lnlncg[l]	Cholesterol metabolism	(1056) or (3988)	3.1.1.13		Hepatic cholesterol esterifying and cholesterol ester hydrolysing enzymes were characterized long ago in the rat [40]. This enzyme has maximal hydrolysing activity at pH 4.5-5.0, with some tailing to neutral pH. The hydrolase requires no co-factors, is stimulated by low concentrations of the surfactant Triton X-100, and is inhibited by sulfhydryl-blocking agents [21]. Stokke subsequently established that this acid cholesterol ester hydrolase (CEH) is of lysosomal origin in the calf, and presumably also in man [22].	PMID: 377822
XOLEST182CEH	Hydrolysis of 1-Linoleoyl-Cholesterol, Cholesterol-Ester (18:2, Delta 9, 12)	1 h2o[l] + 1 xolest182_hs[l] --> 1 h[l] + 1 chsterol[l] + 1 lnlc[l]	Cholesterol metabolism	(1056) or (3988)	3.1.1.13		Hepatic cholesterol esterifying and cholesterol ester hydrolysing enzymes were characterized long ago in the rat [40]. This enzyme has maximal hydrolysing activity at pH 4.5-5.0, with some tailing to neutral pH. The hydrolase requires No co-factors, is stimulated by low concentrations of the surfactant Triton X-100, and is inhibited by sulfhydryl-blocking agents [21]. Stokke subsequently established that this acid cholesterol ester hydrolase (CEH) is of lysosomal origin in the calf, and presumably also in man [22].	PMID: 377822
XOLEST181CEH	Hydrolysis of 1-Vaccenoyl-Cholesterol, Cholesterol-Ester (18:1, Delta 11)	1 h2o[l] + 1 xolest181_hs[l] --> 1 h[l] + 1 chsterol[l] + 1 vacc[l]	Cholesterol metabolism	(1056) or (3988)	3.1.1.13		Hepatic cholesterol esterifying and cholesterol ester hydrolysing enzymes were characterized long ago in the rat [40]. This enzyme has maximal hydrolysing activity at pH 4.5-5.0, with some tailing to neutral pH. The hydrolase requires No co-factors, is stimulated by low concentrations of the surfactant Triton X-100, and is inhibited by sulfhydryl-blocking agents [21]. Stokke subsequently established that this acid cholesterol ester hydrolase (CEH) is of lysosomal origin in the calf, and presumably also in man [22].	PMID: 377822
XOLEST205CEH	Hydrolysis of 1-Timnodnoyl-Cholesterol, Cholesterol-Ester (20:5, Delta 5, 8, 11, 14, 17)	1 h2o[l] + 1 xolest205_hs[l] --> 1 h[l] + 1 chsterol[l] + 1 tmndnc[l]	Cholesterol metabolism	(1056) or (3988)	3.1.1.13		Hepatic cholesterol esterifying and cholesterol ester hydrolysing enzymes were characterized long ago in the rat [40]. This enzyme has maximal hydrolysing activity at pH 4.5-5.0, with some tailing to neutral pH. The hydrolase requires No co-factors, is stimulated by low concentrations of the surfactant Triton X-100, and is inhibited by sulfhydryl-blocking agents [21]. Stokke subsequently established that this acid cholesterol ester hydrolase (CEH) is of lysosomal origin in the calf, and presumably also in man [22].	PMID: 377822
XOLEST204CEH	Hydrolysis of Cholesteryl Arachidonate, Cholesterol-Ester (20:4, Delta 5, 8, 11, 14)	1 h2o[l] + 1 xolest204_hs[l] --> 1 h[l] + 1 chsterol[l] + 1 arachd[l]	Cholesterol metabolism	(1056) or (3988)	3.1.1.13		Hepatic cholesterol esterifying and cholesterol ester hydrolysing enzymes were characterized long ago in the rat [40]. This enzyme has maximal hydrolysing activity at pH 4.5-5.0, with some tailing to neutral pH. The hydrolase requires No co-factors, is stimulated by low concentrations of the surfactant Triton X-100, and is inhibited by sulfhydryl-blocking agents [21]. Stokke subsequently established that this acid cholesterol ester hydrolase (CEH) is of lysosomal origin in the calf, and presumably also in man [22].	PMID: 377822
XOLEST226CEH	Hydrolysis of Cholesteryl Docosahexanoate, Cholesterol-Ester (22:6, Delta 4, 7, 10, 13, 16, 19)	1 h2o[l] + 1 xolest226_hs[l] --> 1 h[l] + 1 chsterol[l] + 1 crvnc[l]	Cholesterol metabolism	(1056) or (3988)	3.1.1.13		Hepatic cholesterol esterifying and cholesterol ester hydrolysing enzymes were characterized long ago in the rat [40]. This enzyme has maximal hydrolysing activity at pH 4.5-5.0, with some tailing to neutral pH. The hydrolase requires no co-factors, is stimulated by low concentrations of the surfactant Triton X-100, and is inhibited by sulfhydryl-blocking agents [21]. Stokke subsequently established that this acid cholesterol ester hydrolase (CEH) is of lysosomal origin in the calf, and presumably also in man [22].	PMID: 377822
